Date,Time,X,Y,Z
2025-06-23,16:28:27.556,-0.040901895612478256,0.07707452028989792,0.0006350191542878747
2025-06-23,16:28:27.556,0.05453586205840111,0.20018669962882996,0.06736238300800323
2025-06-23,16:28:27.556,-0.020450947806239128,0.0385282002389431,-0.0008939289837144315
2025-06-23,16:28:27.556,0.061352845281362534,0.1907137930393219,0.08631708472967148
2025-06-23,16:28:28.907,-0.040901895612478256,0.07707445323467255,0.0006426112377084792
2025-06-23,16:28:28.907,0.05453586205840111,0.19700592756271362,0.07616476714611053
2025-06-23,16:28:28.907,-0.020450947806239128,0.03852817043662071,-0.0008951222989708185
2025-06-23,16:28:28.907,0.061352845281362534,0.19088563323020935,0.08593641221523285
2025-06-23,16:28:28.910,-0.040901895612478256,0.07707446813583374,0.0006412616348825395
2025-06-23,16:28:28.910,0.05453586205840111,0.202316552400589,0.06066646799445152
2025-06-23,16:28:28.910,-0.020450947806239128,0.038527969270944595,-0.0009038137504830956
2025-06-23,16:28:28.910,0.061352845281362534,0.1922736018896103,0.08278436958789825
2025-06-23,16:28:28.911,-0.040901895612478256,0.07707447558641434,0.0006402665167115629
2025-06-23,16:28:28.911,0.05453586205840111,0.1979791820049286,0.07359790802001953
2025-06-23,16:28:28.911,-0.020450947806239128,0.038528405129909515,-0.0008850162848830223
2025-06-23,16:28:28.911,0.061352845281362534,0.19087669253349304,0.08595626801252365
2025-06-23,16:28:28.912,-0.040901895612478256,0.07707440108060837,0.0006487215287052095
2025-06-23,16:28:28.912,0.05453586205840111,0.19735921919345856,0.07524455338716507
2025-06-23,16:28:28.912,-0.020450947806239128,0.03852810710668564,-0.0008978588739410043
2025-06-23,16:28:28.912,0.061352845281362534,0.19103728234767914,0.08559875190258026
2025-06-23,16:28:29.210,-0.040901895612478256,0.07707441598176956,0.0006477820570580661
2025-06-23,16:28:29.210,0.05453586205840111,0.20042285323143005,0.0666564404964447
2025-06-23,16:28:29.210,-0.020450947806239128,0.038528285920619965,-0.0008901292458176613
2025-06-23,16:28:29.210,0.061352845281362534,0.19228145480155945,0.08276615291833878
2025-06-23,16:28:30.473,-0.040901895612478256,0.07707441598176956,0.0006478693103417754
2025-06-23,16:28:30.473,0.05453586205840111,0.19863161444664001,0.07181841135025024
2025-06-23,16:28:30.473,-0.020450947806239128,0.038528285920619965,-0.0008901292458176613
2025-06-23,16:28:30.473,0.061352845281362534,0.19103728234767914,0.08559875190258026
2025-06-23,16:28:30.523,-0.040901895612478256,0.07707439363002777,0.0006501364405266941
2025-06-23,16:28:30.523,0.05453586205840111,0.19427832961082458,0.08287542313337326
2025-06-23,16:28:30.523,-0.020450947806239128,0.038528263568878174,-0.0008911852492019534
2025-06-23,16:28:30.523,0.061352845281362534,0.19019579887390137,0.08745255321264267
2025-06-23,16:28:30.523,-0.040901895612478256,0.07707446068525314,0.0006421147845685482
2025-06-23,16:28:30.523,0.05453586205840111,0.19700592756271362,0.07616476714611053
2025-06-23,16:28:30.523,-0.020450947806239128,0.03852837160229683,-0.0008864510455168784
2025-06-23,16:28:30.523,-0.040901895612478256,0.07707446813583374,0.000641513557638973
2025-06-23,16:28:30.523,0.05453586205840111,0.19688162207603455,0.07648546993732452
2025-06-23,16:28:30.526,-0.020450947806239128,0.038528285920619965,-0.0008901366963982582
2025-06-23,16:28:30.526,0.061352845281362534,0.19088563323020935,0.08593641221523285
2025-06-23,16:28:30.934,-0.040901895612478256,0.07707417756319046,0.0006747838924638927
2025-06-23,16:28:30.934,0.05453586205840111,0.20261095464229584,0.059675831347703934
2025-06-23,16:28:30.934,-0.020450947806239128,0.03852950409054756,-0.0008356542093679309
2025-06-23,16:28:30.934,0.061352845281362534,0.19373054802417755,0.07931499928236008
