Date,Time,X,Y,Z
2025-06-23,23:36:25.71465,-0.040901895612478256,0.07707713544368744,1.6600506569375284e-06
2025-06-23,23:36:25.72438,-0.040901895612478256,0.07707713544368744,-7.580628789582988e-06
2025-06-23,23:36:25.72438,-0.040901895612478256,0.07707713544368744,-1.7356407624902204e-05
2025-06-23,23:36:25.72438,-0.040901895612478256,0.07707713544368744,-8.043426532822195e-06
2025-06-23,23:36:25.76477,-0.040901895612478256,0.07707713544368744,1.7198649402416777e-06
2025-06-23,23:36:25.76477,-0.040901895612478256,0.07707713544368744,-1.8472186638973653e-05
2025-06-23,23:36:25.78034,-0.040901895612478256,0.07707713544368744,-1.5844550944166258e-05
2025-06-23,23:36:25.78034,-0.040901895612478256,0.07707713544368744,-5.3853086683375295e-06
2025-06-23,23:36:25.78034,-0.040901895612478256,0.07707713544368744,-4.234565494698472e-06
2025-06-23,23:36:25.91621,0.34357592463493347,0.7578840851783752,-0.38339826464653015
2025-06-23,23:36:25.91621,-0.040901895612478256,0.07707713544368744,-1.3077033145236783e-05
2025-06-23,23:36:26.24457,-0.040901895612478256,0.07707712799310684,3.3802461985033005e-05
2025-06-23,23:36:26.57487,-0.040901895612478256,0.07707712799310684,2.941829734481871e-05
2025-06-23,23:36:26.90463,-0.040901895612478256,0.07707712799310684,3.276279312558472e-05
2025-06-23,23:36:27.25157,2.1405324935913086,6.5040283203125,0.18490158021450043
2025-06-23,23:36:27.25157,-0.040901895612478256,0.07707712799310684,2.941829734481871e-05
2025-06-23,23:36:27.57581,-0.040901895612478256,0.07707713544368744,2.1824947907589376e-05
2025-06-23,23:36:27.92073,-0.040901895612478256,0.07707712799310684,3.28689202433452e-05
2025-06-23,23:36:28.24872,-0.040901895612478256,0.07707713544368744,2.4923388991737738e-05
2025-06-23,23:36:28.57457,-0.040901895612478256,0.07707712799310684,3.1584128009853885e-05
2025-06-23,23:36:28.92246,-0.040901895612478256,0.07707712799310684,2.738234070420731e-05
2025-06-23,23:36:29.25438,-0.040901895612478256,0.07707712799310684,3.0380195312318392e-05
2025-06-23,23:36:29.57470,-0.040901895612478256,0.07707712799310684,3.462836320977658e-05
2025-06-23,23:36:29.91128,2.1405324935913086,6.48499870300293,-0.530437707901001
2025-06-23,23:36:29.91128,-0.040901895612478256,0.07707712799310684,3.452048622420989e-05
2025-06-23,23:36:30.23818,1.9264793395996094,6.5719194412231445,-0.13038766384124756
2025-06-23,23:36:30.23818,-0.040901895612478256,0.07707713544368744,2.149582542188e-05
2025-06-23,23:36:30.57475,1.9264793395996094,6.56624698638916,-0.30254021286964417
2025-06-23,23:36:30.57475,-0.040901895612478256,0.07707712799310684,3.926191493519582e-05
2025-06-23,23:36:30.90755,0.37220725417137146,0.7442598938941956,-0.3833613395690918
2025-06-23,23:36:30.90755,1.9264793395996094,6.5685930252075195,-0.2463965117931366
2025-06-23,23:36:30.90755,-0.040901895612478256,0.07707712054252625,4.305297989048995e-05
2025-06-23,23:36:31.23806,-0.040901895612478256,0.07707712054252625,4.330060983193107e-05
2025-06-23,23:36:31.58476,1.9264793395996094,6.567087650299072,-0.2836998999118805
2025-06-23,23:36:31.58476,2.1541664600372314,6.535134792327881,-0.4118523895740509
2025-06-23,23:36:31.58476,-0.040901895612478256,0.07707712799310684,3.88055996154435e-05
2025-06-23,23:36:31.90466,2.1405324935913086,6.48117208480835,-0.5753059387207031
2025-06-23,23:36:31.90466,-0.040901895612478256,0.07707713544368744,2.371172195125837e-05
2025-06-23,23:36:32.26456,-0.040901895612478256,0.07707712799310684,2.9916356652393006e-05
2025-06-23,23:36:32.57449,-0.040901895612478256,0.07707712799310684,3.405483948881738e-05
2025-06-23,23:36:32.91448,-0.040901895612478256,0.07707712799310684,3.213644595234655e-05
2025-06-23,23:36:33.25366,-0.040901895612478256,0.07707712054252625,4.056585385114886e-05
2025-06-23,23:36:33.58148,-0.040901895612478256,0.07707712799310684,3.938058944186196e-05
2025-06-23,23:36:33.90347,-0.040901895612478256,0.07707712799310684,2.9916356652393006e-05
2025-06-23,23:36:34.25735,-0.040901895612478256,0.07707712799310684,3.8341557228704914e-05
2025-06-23,23:36:34.57884,-0.040901895612478256,0.07707712799310684,3.617159018176608e-05
2025-06-23,23:36:34.90590,-0.040901895612478256,0.07707712054252625,4.5065287849865854e-05
2025-06-23,23:36:35.25638,-0.040901895612478256,0.07707712799310684,3.581105193006806e-05
2025-06-23,23:36:35.57460,-0.040901895612478256,0.07707712054252625,4.460262425709516e-05
2025-06-23,23:36:35.90734,0.34357592463493347,0.770078718662262,-0.3582753837108612
2025-06-23,23:36:35.90734,-0.040901895612478256,0.07707712054252625,4.8746838729130104e-05
2025-06-23,23:36:36.25500,-0.040901895612478256,0.07707712054252625,4.7558893129462376e-05
2025-06-23,23:36:36.57493,0.37220725417137146,0.7473792433738708,-0.3772440552711487
